Developer,Project Name,Electricity Purchaser,City/County,State,Technology Type,Net Metered,Status,Land Type,Online Date,Capacity (MW),Longitude,Latitude,Locational Accuracy,ZIP,Link 1,Link 2,Link 3,Link 4,Link 5
SunPower,Senga Doherty Pump Station,Rancho California Water District,Riverside,CA,PV,X,Operating,Private,2012-01-03Z,1.1,-117.182162,33.521585,1,"92,522",http://us.sunpowercorp.com/about/newsroom/press-releases/,http://solarnowamerica.org/tag/senga-doherty-pump-station/,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=3&ved=0CC0QFjAC&url=https%3A%2F%2Fwww.ranchowater.com%2Fserve.ashx%3Ftype%3D5%26id%3D773&ei=baBgULihFqjkywHAk4DwCw&usg=AFQjCNEuQGmaH8wQOWfoGxOtRTgMgF1bhw&sig2=aUmXOjnksjvA-Kqu9h7EAQ,,
SunPower,Rio Vista Water Treatment,Castaic Lake Water Agency,Santa Clarita,CA,PV,X,Operating,Public,2012-01-03Z,1,-118.600521,34.497649,1,"91,355",http://us.sunpowercorp.com/about/newsroom/press-releases/,,,,
SunPower/Duke Energy,Shelby Solar Project,NCMPA1,Shelby,NC,PV,,Operating,Private,2010-05-26Z,1,-81.596252,35.254423,1,"28,152",http://www.prnewswire.com/news-releases/ncmpa1-and-duke-energy-partner-on-commercial-solar-project-in-shelby-nc-91585889.html,,,,
Sybac Solar,,Gainesville Regional Utilities,Gainesville,FL,PV,,Operating,Private,2011-03-01Z,2,-82.338014,29.700111,1,"32,609",http://www.solarbuzz.com/industry-news/sybac-solar-constructs-2-mw-solar-array,http://www.prweb.com/releases/2011/02/prweb5044174.htm,,,
Three Phases and Green Rock Capital,Fort Carson Army Base,Fort Carson Army Base,Colorado Springs,CO,PV,X,Operating,Private,2008-01-17Z,2,-104.78174,38.722852,1,"80,913",http://www.army.mil/-news/2008/01/17/7041-armys-largest-solar-array-generates-more-than-power/,http://aec.army.mil/usaec/newsroom/update/win08/win0812.html,http://www.army.mil/-news/2008/01/17/7041-armys-largest-solar-array-generates-more-than-power/,http://www.clu-in.org/conf/tio/secl_090909/prez/secl3ppt.ppt,http://www.conergy.us/Portaldata/1/Resources/usa/pdf-downloads/Conergy_Solar_Energy_Project_Services_Brochure.pdf
Western Massachusetts Electric Co.,Indian Orchard PV Facility,Western Massachusetts Electric Co.,Springfield,MA,PV,,Operating,Private,2011-12-21Z,2.3,-72.49915,42.15292,1,"01,104",http://www.pv-tech.org/news/wmeco_begins_development_of_2.2mw_pv_power_plant?utm_source=pvtech-feeds&utm_medium=rss&utm_campaign=news-rss-feed,http://www.wmeco.com/residential/saveenergy/LargeScaleSolar.aspx,http://nuwnotes1.nu.com/apps/wmeco/webcontent.nsf/0/52E434AA8C14A4438525796D004A6D9A?opendocument,http://nuwnotes1.nu.com/apps/wmeco/webcontent.nsf/0/ED070AD9BF78E41F8525793700470A72?opendocument,http://nuwnotes1.nu.com/apps/wmeco/webcontent.nsf/0/FE495012805C48E28525788F004710EE?opendocument
,Janssen Pharmaceutica Solar Farm,Johnson & Johnson,Titusville,NJ,PV,X,Operating,Private,2010-09-22Z,5,-74.854919,40.292873,1,"08,560",http://www.sunenergysite.eu/en/top400pv.php,http://multivu.prnewswire.com/mnr/janssen/45911/,,,
First Solar,Albuquerque Solar Center,PNM,Albuquerque,NM,PV,,Operating,Private,2012-04-11Z,2,-106.60049,35.168827,1,"87,109",http://www.pnm.com/news/2011/0420_abq_solar_dedication.htm,,,,
First Solar,Las Vegas Solar Center,PNM,Las Vegas,NM,Thin-film,,Operating,Private,2012-01-12Z,6,-115.14,36.1719,2,,http://www.pnm.com/news/2012/0111_las_vegas_solar_dedication.htm,,,,
,Washington Township Solar Array,Dayton Power and Light,Washington,OH,PV,,Operating,Private,2010-06-22Z,1,-84.206276,39.60151,1,"45,342",http://www.middletownjournal.com/news/middletown-news/village-could-have-largest-solar-array-in-region-1309321.html,http://www.tedstrickland.com/6-22-10-governor-dpl-open-southwestern-ohio%E2%80%99s-largest-solar-power-facility-in-washington-township/,,,
