Developer,Project Name,Electricity Purchaser,City/County,State,Technology Type,Net Metered,Status,Land Type,Online Date,Capacity (MW),Longitude,Latitude,Locational Accuracy,ZIP,Link 1,Link 2,Link 3,Link 4,Link 5
Oak Leaf Partners,DIA 2,Denver International Airport,Denver,CO,PV,X,Operating,Private,2010-03-05Z,1.6,-104.674,39.8477,1,"80,249",http://www.oakleafep.com/project_detail.php?proj_id=6,http://www.renewableenergyworld.com/rea/news/article/2010/03/1-6-mw-solar-system-completed-at-denver-airport,,,
PowerPlay Solar,Berkshire School Solar Farm,Berkshire School,Sheffield,MA,PV,X,Operating,Private,2011-12-01Z,2,-73.404749,42.114333,1,"01,257",http://www.berkshireschool.org/page.cfm?p=1158,,,,
REC Solar,Hayward Wastewater Solar Facility,City of Hayward,Hayward,CA,PV,,Operating,Private,2011-03-10Z,1,-122.140473,37.633105,1,"94,545",http://www.greenbiz.com/news/2011/03/10/city-hayward-cuts-ribbon-1-mw-solar-array-sewer-plant,,,,
Recurrent Energy,Sunset Reservoir Solar Power System,Sunset Reservoir,San Francisco,CA,PV,X,Operating,Private,2011-05-10Z,5,-122.484,37.7501,1,"94,122",http://www.solarserver.com/solar-magazine/solar-news/current/kw49/recurrent-energy-commissions-5mw-sunset-reservoir-pv-plant-opens-office-in-toronto.html,http://www.prweb.com/releases/commercial_solar/san_francisco_san_jose/prweb8397541.htm,,,
Regenesis Power LLC,Stanton Solar Farm,Orlando Utilities Copmmission,Orange,FL,PV,,Operating,Private,2011-12-08Z,5.9,-81.180239,28.491719,1,"32,831",http://www.pv-tech.org/news/ouc_activates_duke_energy_owned_operated_5.9mw_pv_system_in_orange_county_f,,,,
First Solar/Sempra Generation,Copper Mountain Solar Project,Pacific Gas & Electric,Boulder City,NV,Thin-film,,Operating,Private,2010-12-01Z,55,-114.992,35.7811,1,"89,046",http://en.wikipedia.org/wiki/Copper_Mountain_Solar_Facility,,,,
First Solar/Sempra Generation,El Dorado Energy Solar Project,Pacific Gas & Electric,Boulder City,NV,Thin-film,,Operating,Private,2008-12-01Z,8,-114.996,35.7852,1,"89,046",http://www.youtube.com/watch?v=QnehTgVZzmE,,,,
Sempra Generation,Mesquite Solar Phase 1,Pacific Gas & Electric,Arlington,AZ,PV,,Operating,Private,2011-12-27Z,48,-112.937081,33.340368,1,"85,354",http://www.bloomberg.com/news/2011-12-27/sempra-s-mesquite-solar-plant-begins-producing-power-in-arizona.html,,,,
Solar Power Inc.,Aerojet Solar Facility,Sacramento Municipal Utility District,Sacramento,CA,PV,,Operating,Private,2010-06-03Z,6,-121.161,38.6138,1,"95,742",http://www.aerojet.com/news2.php?action=fullnews&id=230,http://www.prnewswire.com/news-releases/aerojet-solar-power-inc-and-smud-announce-completion-of-six-megawatt-solar-installation-at-aerojets-sacramento-site-95504449.html,,,
Solar Power Partners,West County Wastewater District Solar,West County Wastewater District,Richmond,CA,PV,X,Operating,Private,2008-12-01Z,1,-122.379823,37.966815,1,"94,801",http://www.premierpower.com/case_studies/wcwd.php,http://www.etsolar.com/mediaCenter/Detail_42.html,http://www.dricompanies.com/Pages.aspx/News?DRI-Energy-Oro-Loma-Sanitary-District-Turns-Solar-into-Savings,http://www.prnewswire.com/news-releases/solar-power-partners-wins-west-county-wastewater-districts-big-picture-award-for-special-achievement-61826547.html,
Solon,Five Points Solar Station,Pacific Gas & Electric,Fresno,CA,PV,,Operating,Private,2011-09-29Z,15,-119.78473,36.733193,5,"93,721",http://www.pv-tech.org/news/solon_to_build_15mw_power_plant_in_california?utm_source=pvtech-feeds&utm_medium=rss&utm_campaign=news-rss-feed,http://www.pge.com/about/newsroom/newsreleases/20110929/pgampe_completes_three_solar_projects_to_deliver_more_clean_energy_to_customers.shtml,http://www.solon.com/us/press/News/2011/detail.html?ID=666,,
Solon,Cotton Center,Arizona Public Service,Gila Bend,AZ,PV,,Operating,Private,2011-12-07Z,17,-112.666,33.0424,1,"85,326",http://www.solon.com/global/press/detail.html?ID=539,http://www.businesswire.com/news/home/20111207006807/en/Cotton-Center-Plant-APS-Sun,,,
Solon,Vaca-Dixon Solar Station,Pacific Gas & Electric,Vacaville,CA,PV,,Operating,Private,2010-06-23Z,2,-121.926586,38.410816,1,"95,688",http://www.solon.com/cw/en/press/press-releases/detail.html?ID=320,http://www.pge.com/about/newsroom/newsreleases/20100623/cpuc_president_peevey_governors_office_join_pge_in_dedicating_new_solar_generation_station.shtml,,,
Star Harvest Solar,Bowling Green Solar Farm,Tennessee Valley Authority,Bowling Green,KY,PV,,Operating,Private,2011-07-01Z,2,-86.334245,37.03176,1,"42,101",http://starharvestsolar.com/projects,http://www.newschannel5.com/story/14835157/bowling-green-to-have-6m-10-acre-solar-farm,,,
o2 Energies/Strata Solar,Mayberry Solar Farm,Duke Energy,Mount Airy,NC,PV,,Operating,Private,2011-10-10Z,1.2,-81.1524,35.909,1,"28,681",http://www.triplepundit.com/2011/10/north-carolina-solar-farm-leads-building-wave/,http://www.mtairynews.com/view/full_story/16005585/article-Solar-farm-opens/,,,
Strata Solar,Kings Mountain Solar Farm,Duke Energy,Kings Mountain,NC,PV,,Operating,Private,2012-01-12Z,5,-81.410179,35.200308,1,"28,086",,,,,
SunDurance Energy,Rutgers University Solar Farm,Rutgers University,Piscataway,NJ,PV,X,Operating,Private,2009-10-27Z,1.4,-74.429647,40.523844,1,"08,854",http://www.sunduranceenergy.com/projects/view/rutgers_university,http://news.rutgers.edu/medrel/news-releases/2009/10/rutgers-university-o-20091027,,,
SunDurance Energy,Global Pharma Co Solar Farm,Global Pharma Co,Raritan,NJ,PV,X,Operating,Private,2012-03-01Z,1.7,-74.649052,40.573816,1,"08,869",http://www.sunduranceenergy.com/projects/view/global_rx_co,http://www.ferc.gov/legal/staff-reports/mar-2012-energy-infrastructure.pdf,,,
SunEdison,Austin Energy PV Project,Austin Energy,Webberville,TX,PV,,Operating,Private,2012-01-09Z,34,-97.504192,30.270463,1,"78,653",http://www.businesswire.com/portal/site/home/permalink/?ndmViewId=news_view&newsId=20090813006124&newsLang=en,,,,
SunEdison,Alamosa Photovoltaic Solar Plant,Xcel Energy,Alamosa,CO,PV,,Operating,Private,2007-12-01Z,8,-105.878,37.6891,1,"81,146",http://en.wikipedia.org/wiki/Alamosa_photovoltaic_power_plant,,,,
SunEdison,Davidson County Solar Farm,Duke Energy,Davidson County,NC,PV,,Operating,Private,2011-01-26Z,17,-80.2903,35.7515,1,"27,292",http://international.pv-tech.org/news/duke_energy_sunedison_activate_17.2mw_solar_farm_in_north_carolina?utm_source=pvtech-international-feeds&utm_medium=rss&utm_campaign=news-rss-feed,http://www.bizjournals.com/triad/news/2011/01/26/duke-finishes-davidson-county-solar-farm.html,,,
SunEdison,"Colorado State University, Fort Collins Solar Farm","Colorado State University, Fort Collins",Fort Collins,CO,PV,X,Operating,,2010-12-01Z,5.3,-105.147,40.5925,1,"80,521",http://www.today.colostate.edu/story.aspx?id=6260,http://www.nwf.org/~/media/Campus-Ecology/Files/Case-Studies/2011-Case-Studies/A-M/Colorado%20State%20University%202011%20Solar%20Case%20Study%20FINALx.ashx,,,
SunEdison,SunEdison NM Solar 1,Southwestern Public Service Co.,Lea & Eddy Counties,NM,PV,,Operating,Private,2011-09-22Z,10.7,-103.183455,32.185612,1,"88,252",http://www.xcelenergy.com/About_Us/Energy_News/News_Archive/Xcel_Energy_and_SunEdison_announce_activations_of_solar_projects_in_New_Mexico?stateSelected=true,http://www.greentechmedia.com/articles/read/Solar-Project-of-the-Week-SunEdison-and-Xcel-Energy-Installations-in-NM/,http://www.solarserver.com/solar-magazine/solar-news/current/2011/kw39/xcel-sunedison-commission-three-pv-plants-totaling-323-mw-in-new-mexico.html,,
